heuristic,feature_set,size,rep,method,rmse_log10
gap,full,800,6,gbm,0.20573576241536126
gap,full,800,6,mlp,0.2172271527364488
gap,full,800,7,gbm,0.21008598199366288
gap,full,800,7,mlp,0.20653544310847582
gap,full,800,8,gbm,0.20827324099295652
gap,full,800,8,mlp,0.20552879711787284
gap,full,800,9,gbm,0.21506108736964752
gap,full,800,9,mlp,0.19977389829928494
gap,full,1050,0,gbm,0.20685616730452358
gap,full,1050,0,mlp,0.19855533926558488
gap,full,1050,1,gbm,0.2072192055133074
gap,full,1050,1,mlp,0.20474642676245133
gap,full,1050,2,gbm,0.21004711082592395
gap,full,1050,2,mlp,0.19491749653423035
gap,full,1050,3,gbm,0.20147784938209085
gap,full,1050,3,mlp,0.2013908811084618
gap,full,1050,4,gbm,0.20727137284059266
gap,full,1050,4,mlp,0.20730157351089132
gap,full,1050,5,gbm,0.21231502577947386
gap,full,1050,5,mlp,0.2085100517440051
gap,full,1050,6,gbm,0.2003221980319783
gap,full,1050,6,mlp,0.20325394920502424
gap,full,1050,7,gbm,0.20628374727464446
gap,full,1050,7,mlp,0.20090583401169562
gap,full,1050,8,gbm,0.2063371989276664
gap,full,1050,8,mlp,0.20143508518939485
gap,full,1050,9,gbm,0.20480393686853043
gap,full,1050,9,mlp,0.19640015391026439
rand,minimal,50,0,gbm,0.7550533505697712
rand,minimal,50,0,mlp,0.6477234786007515
rand,minimal,50,1,gbm,0.7286324600179306
rand,minimal,50,1,mlp,0.5862209528649353
rand,minimal,50,2,gbm,0.7439523356108866
rand,minimal,50,2,mlp,0.6133368827462301
rand,minimal,50,3,gbm,0.7309283507985138
rand,minimal,50,3,mlp,0.5963976348930625
rand,minimal,50,4,gbm,0.739345590393486
rand,minimal,50,4,mlp,0.6134869115554394
rand,minimal,50,5,gbm,0.7835489927735445
rand,minimal,50,5,mlp,0.6142120951778465
rand,minimal,50,6,gbm,0.8048948048310998
rand,minimal,50,6,mlp,0.8173424830302164
rand,minimal,50,7,gbm,0.7151940896199448
rand,minimal,50,7,mlp,0.8547778523760171
rand,minimal,50,8,gbm,0.7499623577857527
rand,minimal,50,8,mlp,0.6049792646006866
rand,minimal,50,9,gbm,0.7605531625012795
rand,minimal,50,9,mlp,0.6066837514864484
rand,minimal,100,0,gbm,0.7127747479700643
rand,minimal,100,0,mlp,0.6001454375735099
rand,minimal,100,1,gbm,0.6369027151008816
rand,minimal,100,1,mlp,0.5861103464112999
rand,minimal,100,2,gbm,0.6790989802523745
rand,minimal,100,2,mlp,0.6081875239830014
rand,minimal,100,3,gbm,0.6320568186184957
rand,minimal,100,3,mlp,0.580135420203939
rand,minimal,100,4,gbm,0.6393071979088951
rand,minimal,100,4,mlp,0.5912453051140465
rand,minimal,100,5,gbm,0.7243372627366417
rand,minimal,100,5,mlp,0.8366929197527357
rand,minimal,100,6,gbm,0.7230666544171038
rand,minimal,100,6,mlp,0.6246189289317283
rand,minimal,100,7,gbm,0.7006921412879986
rand,minimal,100,7,mlp,0.5875703949299913
rand,minimal,100,8,gbm,0.6467897358823597
rand,minimal,100,8,mlp,0.5902377434614429
rand,minimal,100,9,gbm,0.7208108348252629
rand,minimal,100,9,mlp,0.6120796264618555
rand,minimal,200,0,gbm,0.618743003952369
rand,minimal,200,0,mlp,0.584887209474857
rand,minimal,200,1,gbm,0.6511958987496719
rand,minimal,200,1,mlp,0.5822830474478118
rand,minimal,200,2,gbm,0.6162196186999179
rand,minimal,200,2,mlp,0.5836739399999135
rand,minimal,200,3,gbm,0.6162842704962517
rand,minimal,200,3,mlp,0.5814948690558811
rand,minimal,200,4,gbm,0.6291311531567145
rand,minimal,200,4,mlp,0.5863000938293702
rand,minimal,200,5,gbm,0.6464096972906195
rand,minimal,200,5,mlp,0.6038093540888473
rand,minimal,200,6,gbm,0.627369404654749
rand,minimal,200,6,mlp,0.5917126714144387
rand,minimal,200,7,gbm,0.6187064484749776
rand,minimal,200,7,mlp,0.584047704921454
rand,minimal,200,8,gbm,0.6208215050559244
rand,minimal,200,8,mlp,0.5828737070996822
rand,minimal,200,9,gbm,0.6156684293430249
rand,minimal,200,9,mlp,0.582930824660544
rand,minimal,400,0,gbm,0.5783120584937722
rand,minimal,400,0,mlp,0.5781060965648537
rand,minimal,400,1,gbm,0.5805437270615551
rand,minimal,400,1,mlp,0.5822046418753957
rand,minimal,400,2,gbm,0.5824169114028656
rand,minimal,400,2,mlp,0.5825276281116334
rand,minimal,400,3,gbm,0.5810711065086875
rand,minimal,400,3,mlp,0.5803224312297581
rand,minimal,400,4,gbm,0.5902960379684205
rand,minimal,400,4,mlp,0.5865423272340992
rand,minimal,400,5,gbm,0.6083421994224727
rand,minimal,400,5,mlp,0.5955542188214663
rand,minimal,400,6,gbm,0.5823790895186834
rand,minimal,400,6,mlp,0.5822950198737827
rand,minimal,400,7,gbm,0.5785863462381535
rand,minimal,400,7,mlp,0.5797020139076849
rand,minimal,400,8,gbm,0.5797594359261679
rand,minimal,400,8,mlp,0.5778833324566114
rand,minimal,400,9,gbm,0.5820832507331427
rand,minimal,400,9,mlp,0.5803571276882594
rand,minimal,800,0,gbm,0.58052006237563
rand,minimal,800,0,mlp,0.5774780749824405
rand,minimal,800,1,gbm,0.5833968924377048
rand,minimal,800,1,mlp,0.5816096027731219
rand,minimal,800,2,gbm,0.5783363011266617
rand,minimal,800,2,mlp,0.5779413608698926
rand,minimal,800,3,gbm,0.5783581252091389
rand,minimal,800,3,mlp,0.5788403825263629
rand,minimal,800,4,gbm,0.5815821349404675
rand,minimal,800,4,mlp,0.5784082752824498
rand,minimal,800,5,gbm,0.5823863123504525
rand,minimal,800,5,mlp,0.582068798617583
rand,minimal,800,6,gbm,0.5810301377323672
rand,minimal,800,6,mlp,0.5796928057252323
rand,minimal,800,7,gbm,0.5824478634439381
rand,minimal,800,7,mlp,0.5799678783150604
rand,minimal,800,8,gbm,0.5792782669332682
rand,minimal,800,8,mlp,0.5771358968436309
rand,minimal,800,9,gbm,0.5798966566537108
rand,minimal,800,9,mlp,0.5796839287498103
rand,minimal,1050,0,gbm,0.5823273139136819
rand,minimal,1050,0,mlp,0.5793443363099811
rand,minimal,1050,1,gbm,0.581373075700603
rand,minimal,1050,1,mlp,0.5807718271498951
rand,minimal,1050,2,gbm,0.582841915619592
rand,minimal,1050,2,mlp,0.5801691199673306
rand,minimal,1050,3,gbm,0.5817067216888446
rand,minimal,1050,3,mlp,0.5784919470440564
rand,minimal,1050,4,gbm,0.5798622914165393
rand,minimal,1050,4,mlp,0.5784896283038473
rand,minimal,1050,5,gbm,0.5818443902043625
rand,minimal,1050,5,mlp,0.5805940248564475
rand,minimal,1050,6,gbm,0.5823146462505882
rand,minimal,1050,6,mlp,0.5801877989631695
rand,minimal,1050,7,gbm,0.580812058866094
rand,minimal,1050,7,mlp,0.5789826174144667
rand,minimal,1050,8,gbm,0.5805878145164544
rand,minimal,1050,8,mlp,0.5791043018915534
rand,minimal,1050,9,gbm,0.580348541116736
rand,minimal,1050,9,mlp,0.5799471899939775
rand,full,50,0,gbm,0.3702377118763327
rand,full,50,0,mlp,0.515560800421962
rand,full,50,1,gbm,0.35178800382750747
rand,full,50,1,mlp,0.5808269038957485
rand,full,50,2,gbm,0.3478953438041774
rand,full,50,2,mlp,0.4971725448741186
rand,full,50,3,gbm,0.3291772984279644
rand,full,50,3,mlp,0.39936846409057813
rand,full,50,4,gbm,0.3870781961269966
rand,full,50,4,mlp,0.4138767705825599
rand,full,50,5,gbm,0.3710714987836015
rand,full,50,5,mlp,0.4628884716810727
rand,full,50,6,gbm,0.34791243933532057
rand,full,50,6,mlp,0.3821413999740846
rand,full,50,7,gbm,0.35498613963746745
rand,full,50,7,mlp,0.4362345441840569
rand,full,50,8,gbm,0.39186042109745645
rand,full,50,8,mlp,0.4150401476035045
rand,full,50,9,gbm,0.37229703047808954
rand,full,50,9,mlp,0.37864188244287234
rand,full,100,0,gbm,0.321235450368374
rand,full,100,0,mlp,0.4176574237043531
rand,full,100,1,gbm,0.31332807379926586
rand,full,100,1,mlp,0.39948096819277357
rand,full,100,2,gbm,0.2850273593035449
rand,full,100,2,mlp,0.41564324670308767
rand,full,100,3,gbm,0.2741329165007171
rand,full,100,3,mlp,0.3214882161747116
rand,full,100,4,gbm,0.30359743120997795
rand,full,100,4,mlp,0.33938277777791187
rand,full,100,5,gbm,0.34929648845547545
rand,full,100,5,mlp,0.36270532843385356
rand,full,100,6,gbm,0.32772837475985966
rand,full,100,6,mlp,0.33335611060756
rand,full,100,7,gbm,0.31466131431606664
rand,full,100,7,mlp,0.3176135185226724
rand,full,100,8,gbm,0.2904412185129338
rand,full,100,8,mlp,0.34981542343595967
rand,full,100,9,gbm,0.3243681258309502
rand,full,100,9,mlp,0.3232597113059754
rand,full,200,0,gbm,0.3108691348339832
rand,full,200,0,mlp,0.36848907197579234
rand,full,200,1,gbm,0.2970360556384447
rand,full,200,1,mlp,0.33294844593262235
rand,full,200,2,gbm,0.2706506100063202
rand,full,200,2,mlp,0.2793357904860933
rand,full,200,3,gbm,0.2800522610556481
rand,full,200,3,mlp,0.28366990051547436
rand,full,200,4,gbm,0.30240932081294913
rand,full,200,4,mlp,0.3280829008072663
rand,full,200,5,gbm,0.30438531015965536
rand,full,200,5,mlp,0.2751536065028585
rand,full,200,6,gbm,0.2930848853907015
rand,full,200,6,mlp,0.2819094443101136
rand,full,200,7,gbm,0.2887548130796946
rand,full,200,7,mlp,0.29738984205937946
rand,full,200,8,gbm,0.2653638947740429
rand,full,200,8,mlp,0.2814379023184157
rand,full,200,9,gbm,0.3062760256655979
rand,full,200,9,mlp,0.3029660161911014
rand,full,400,0,gbm,0.31877785294749417
rand,full,400,0,mlp,0.3066500887158993
rand,full,400,1,gbm,0.275683851647788
rand,full,400,1,mlp,0.2824880062488337
rand,full,400,2,gbm,0.26379554124225785
rand,full,400,2,mlp,0.2656754760087928
rand,full,400,3,gbm,0.2724235134411329
rand,full,400,3,mlp,0.257402160215517
rand,full,400,4,gbm,0.28423374808511703
rand,full,400,4,mlp,0.26888942728823473
rand,full,400,5,gbm,0.2889971023231514
rand,full,400,5,mlp,0.2720128329484432
rand,full,400,6,gbm,0.29187319891812996
rand,full,400,6,mlp,0.27857132872144763
rand,full,400,7,gbm,0.2941087678495835
rand,full,400,7,mlp,0.2706131963351224
rand,full,400,8,gbm,0.2851746029973993
rand,full,400,8,mlp,0.2686806636330916
rand,full,400,9,gbm,0.2756665874003156
rand,full,400,9,mlp,0.27630707388296716
rand,full,800,0,gbm,0.27000536832967026
rand,full,800,0,mlp,0.24978969177601681
rand,full,800,1,gbm,0.26709644854052295
rand,full,800,1,mlp,0.2552587345292485
rand,full,800,2,gbm,0.26486982473360743
rand,full,800,2,mlp,0.24601411102273163
rand,full,800,3,gbm,0.276222842036991
rand,full,800,3,mlp,0.25426044388485886
rand,full,800,4,gbm,0.26713047643647064
rand,full,800,4,mlp,0.2724431622301731
rand,full,800,5,gbm,0.28606656131598446
rand,full,800,5,mlp,0.25203822939792087
rand,full,800,6,gbm,0.25807036978336284
rand,full,800,6,mlp,0.2573405490007129
rand,full,800,7,gbm,0.2780694277967331
rand,full,800,7,mlp,0.25078333556566823
rand,full,800,8,gbm,0.27143314560017534
rand,full,800,8,mlp,0.2587237464578036
rand,full,800,9,gbm,0.2726673873042349
rand,full,800,9,mlp,0.25684312771675916
rand,full,1050,0,gbm,0.2657338295125261
rand,full,1050,0,mlp,0.24638987486369837
rand,full,1050,1,gbm,0.27102632425224926
rand,full,1050,1,mlp,0.24987452836405655
rand,full,1050,2,gbm,0.27869199373534415
rand,full,1050,2,mlp,0.24173587329452356
rand,full,1050,3,gbm,0.2713348608227503
rand,full,1050,3,mlp,0.2509017963884495
rand,full,1050,4,gbm,0.2717743818742241
rand,full,1050,4,mlp,0.23821682385806006
rand,full,1050,5,gbm,0.2663641256513651
rand,full,1050,5,mlp,0.24929082195240257
rand,full,1050,6,gbm,0.27437312486260934
rand,full,1050,6,mlp,0.2564108944795896
rand,full,1050,7,gbm,0.2635197726628628
rand,full,1050,7,mlp,0.24839248919206644
rand,full,1050,8,gbm,0.27645616114239013
rand,full,1050,8,mlp,0.2466012651983841
rand,full,1050,9,gbm,0.27549096851212884
rand,full,1050,9,mlp,0.24586170766600035
